target,income,customer_age,payment_type,employment_status,housing_status,bank_months_count
0,0.9,20,AD,CB,BE,1
0,0.6000000000000001,60,AB,CC,BB,30
0,0.2,20,AD,CA,BE,31
0,0.4,30,AD,CA,BC,1
0,0.1,20,AC,CB,BE,-1
1,0.1,20,AA,CA,BB,25
0,0.1,20,AD,CD,BC,1
0,0.1,20,AA,CA,BE,25
0,0.8,40,AB,CB,BC,25
0,0.2,30,AD,CA,BC,31
0,0.8,50,AB,CB,BC,1
0,0.9,40,AA,CA,BC,1
0,0.2,30,AA,CA,BC,28
0,0.1,50,AB,CA,BA,25
0,0.1,40,AC,CA,BC,-1
0,0.7000000000000001,50,AA,CA,BA,19
0,0.4,50,AB,CA,BC,6
0,0.1,30,AA,CA,BB,19
0,0.4,40,AB,CB,BB,1
0,0.9,40,AB,CA,BA,1
0,0.2,40,AB,CA,BC,25
0,0.6000000000000001,30,AA,CA,BE,25
0,0.3,40,AA,CB,BF,1
0,0.2,70,AA,CC,BC,1
0,0.6000000000000001,20,AA,CA,BD,25
0,0.8,10,AD,CA,BD,28
0,0.1,20,AA,CA,BE,25
0,0.6000000000000001,20,AD,CD,BE,28
0,0.8,40,AB,CA,BB,24
0,0.4,20,AB,CA,BA,1
0,0.2,50,AD,CB,BB,30
0,0.2,20,AB,CA,BC,1
0,0.1,50,AD,CB,BE,31
0,0.9,30,AA,CA,BC,15
0,0.9,40,AB,CB,BA,15
0,0.9,50,AC,CA,BC,-1
0,0.4,20,AD,CA,BC,25
0,0.8,30,AA,CF,BE,5
0,0.9,30,AA,CA,BC,1
0,0.1,30,AA,CE,BB,25
0,0.3,20,AD,CA,BC,16
0,0.9,40,AA,CA,BA,15
0,0.7000000000000001,30,AB,CB,BB,20
0,0.2,40,AB,CA,BC,15
0,0.5,20,AC,CA,BB,-1
0,0.6000000000000001,40,AD,CB,BC,1
0,0.7000000000000001,50,AB,CB,BB,2
0,0.1,40,AB,CA,BC,1
0,0.8,60,AA,CA,BA,19
0,0.6000000000000001,30,AA,CA,BD,28
0,0.6000000000000001,40,AD,CA,BB,1
0,0.6000000000000001,40,AB,CA,BA,30
0,0.7000000000000001,50,AD,CB,BB,30
0,0.1,30,AC,CA,BC,-1
0,0.8,60,AA,CC,BE,21
0,0.8,20,AD,CB,BC,15
0,0.8,40,AA,CB,BA,1
0,0.9,50,AA,CA,BC,20
0,0.4,40,AA,CB,BC,1
0,0.9,20,AB,CF,BB,1
0,0.8,30,AA,CA,BC,15
0,0.9,40,AC,CA,BB,-1
0,0.3,20,AA,CA,BC,11
0,0.7000000000000001,40,AA,CB,BE,15
0,0.9,40,AD,CA,BA,31
0,0.7000000000000001,40,AD,CA,BB,-1
0,0.8,30,AD,CB,BE,30
0,0.6000000000000001,20,AA,CB,BC,16
0,0.5,40,AD,CA,BE,1
0,0.1,30,AC,CA,BA,-1
0,0.6000000000000001,30,AA,CA,BB,1
0,0.5,40,AB,CA,BC,15
0,0.7000000000000001,30,AB,CA,BA,25
0,0.8,50,AB,CA,BA,1
0,0.9,50,AB,CB,BC,2
0,0.3,30,AA,CB,BC,10
0,0.1,30,AB,CD,BB,-1
0,0.7000000000000001,20,AB,CA,BC,28
0,0.1,40,AB,CA,BA,25
0,0.6000000000000001,20,AB,CF,BB,31
0,0.1,40,AB,CA,BC,25
0,0.9,20,AB,CA,BE,26
0,0.9,50,AA,CA,BB,1
0,0.7000000000000001,30,AC,CA,BC,-1
0,0.1,60,AB,CD,BB,15
0,0.9,60,AB,CB,BA,25
0,0.2,20,AB,CA,BB,26
0,0.9,40,AA,CA,BE,10
0,0.7000000000000001,20,AD,CA,BC,15
0,0.9,30,AB,CF,BB,1
0,0.7000000000000001,40,AA,CA,BC,2
0,0.4,20,AA,CB,BE,11
0,0.1,20,AC,CA,BC,-1
0,0.9,50,AC,CA,BA,-1
0,0.9,40,AA,CB,BC,1
0,0.1,20,AB,CA,BE,1
0,0.1,60,AC,CA,BB,-1
0,0.7000000000000001,20,AD,CA,BC,20
0,0.2,20,AC,CA,BE,-1
0,0.2,30,AB,CA,BF,15
0,0.8,30,AB,CB,BC,25
0,0.1,20,AB,CD,BE,25
0,0.1,30,AA,CA,BB,1
0,0.2,50,AC,CD,BC,-1
0,0.8,30,AD,CA,BE,26
0,0.5,40,AC,CB,BA,-1
0,0.3,20,AA,CA,BC,26
0,0.4,40,AA,CA,BC,21
0,0.8,50,AB,CA,BC,15
0,0.9,20,AC,CA,BC,-1
0,0.4,50,AD,CA,BA,1
0,0.3,30,AA,CA,BC,20
0,0.6000000000000001,40,AC,CA,BA,-1
0,0.7000000000000001,40,AB,CA,BC,31
0,0.2,40,AA,CA,BE,26
0,0.7000000000000001,20,AA,CC,BB,11
0,0.8,30,AA,CA,BA,5
0,0.7000000000000001,20,AD,CA,BC,26
0,0.5,50,AB,CA,BA,19
0,0.4,40,AD,CB,BA,25
0,0.1,40,AB,CA,BA,30
0,0.1,40,AC,CA,BC,-1
0,0.2,40,AA,CA,BD,28
0,0.9,30,AD,CA,BC,1
0,0.1,20,AD,CA,BC,1
0,0.2,70,AD,CC,BA,25
0,0.3,30,AD,CB,BC,1
0,0.6000000000000001,40,AA,CA,BC,10
0,0.1,20,AD,CA,BB,2
0,0.5,20,AA,CA,BA,28
0,0.7000000000000001,30,AA,CA,BC,28
0,0.8,50,AA,CA,BC,31
0,0.8,50,AA,CB,BE,10
0,0.6000000000000001,50,AB,CA,BA,25
0,0.7000000000000001,20,AB,CA,BE,20
0,0.9,40,AA,CA,BC,11
0,0.9,40,AA,CA,BA,25
0,0.1,20,AB,CA,BE,25
0,0.6000000000000001,40,AA,CA,BE,1
0,0.1,40,AD,CC,BB,1
0,0.2,40,AA,CB,BB,25
0,0.8,30,AD,CF,BE,25
0,0.8,60,AB,CA,BA,5
0,0.8,10,AA,CA,BC,28
0,0.2,20,AB,CA,BC,28
0,0.8,40,AD,CA,BA,5
0,0.9,40,AC,CA,BA,-1
0,0.3,30,AB,CA,BC,1
0,0.7000000000000001,60,AA,CA,BA,15
1,0.8,60,AA,CC,BA,28
0,0.6000000000000001,40,AB,CA,BC,2
0,0.1,30,AD,CA,BE,5
0,0.9,30,AB,CA,BA,1
0,0.8,40,AA,CA,BC,29
0,0.1,20,AB,CD,BB,15
0,0.8,20,AB,CA,BC,25
0,0.3,30,AA,CA,BE,28
0,0.7000000000000001,40,AA,CB,BB,1
0,0.7000000000000001,40,AA,CA,BC,1
0,0.5,40,AB,CB,BB,25
0,0.8,20,AC,CA,BC,-1
0,0.2,30,AC,CA,BC,-1
0,0.3,20,AD,CA,BC,1
0,0.2,30,AB,CF,BD,19
0,0.2,30,AD,CB,BC,30
0,0.1,50,AA,CA,BC,1
0,0.1,10,AA,CA,BE,19
0,0.8,20,AA,CA,BC,20
0,0.5,30,AA,CA,BC,2
0,0.3,50,AB,CA,BC,1
0,0.9,40,AD,CB,BC,1
0,0.8,40,AC,CA,BC,-1
0,0.9,20,AD,CA,BC,15
0,0.8,20,AB,CA,BC,6
0,0.3,50,AA,CA,BE,1
0,0.7000000000000001,30,AB,CD,BB,25
0,0.4,30,AB,CA,BC,1
0,0.6000000000000001,40,AA,CE,BD,15
0,0.7000000000000001,50,AC,CB,BA,-1
1,0.7000000000000001,50,AD,CA,BA,27
0,0.9,50,AD,CB,BB,2
0,0.1,20,AB,CF,BC,1
0,0.8,30,AB,CB,BC,10
0,0.9,50,AC,CA,BB,-1
0,0.1,30,AA,CA,BC,1
0,0.3,20,AA,CA,BE,20
0,0.6000000000000001,40,AB,CA,BC,1
0,0.8,20,AB,CB,BE,1
0,0.7000000000000001,20,AC,CA,BB,30
0,0.4,40,AA,CA,BA,2
0,0.7000000000000001,20,AD,CA,BC,6
0,0.3,50,AB,CA,BC,1
0,0.8,50,AA,CA,BA,1
0,0.1,20,AD,CF,BC,4
0,0.9,20,AB,CA,BE,10
0,0.7000000000000001,40,AA,CB,BC,1
0,0.7000000000000001,60,AA,CD,BB,20
0,0.5,30,AA,CD,BC,15
0,0.5,60,AB,CC,BC,15
0,0.6000000000000001,30,AA,CA,BC,1
0,0.5,50,AB,CB,BA,20
0,0.3,40,AB,CA,BB,1
0,0.9,30,AB,CA,BC,10
0,0.1,30,AA,CB,BA,30
0,0.1,10,AB,CD,BE,19
0,0.9,70,AD,CA,BB,10
0,0.2,20,AA,CA,BE,6
0,0.8,30,AB,CB,BB,25
0,0.6000000000000001,40,AD,CA,BA,20
0,0.6000000000000001,30,AB,CA,BC,15
0,0.9,20,AD,CA,BE,30
0,0.6000000000000001,40,AB,CA,BC,1
0,0.6000000000000001,30,AA,CA,BC,9
0,0.2,10,AB,CA,BC,28
0,0.2,30,AA,CA,BE,28
0,0.6000000000000001,40,AD,CB,BC,30
0,0.4,50,AD,CB,BA,9
0,0.6000000000000001,50,AB,CA,BC,30
0,0.9,30,AA,CA,BA,15
0,0.2,60,AB,CC,BC,28
0,0.1,30,AB,CF,BB,15
0,0.1,20,AB,CE,BE,26
0,0.2,40,AC,CA,BB,-1
0,0.7000000000000001,50,AB,CC,BC,-1
0,0.1,30,AD,CA,BB,30
0,0.7000000000000001,30,AB,CA,BB,1
0,0.6000000000000001,30,AA,CA,BA,21
0,0.7000000000000001,20,AA,CA,BE,31
0,0.9,50,AA,CA,BA,30
0,0.3,30,AB,CC,BD,30
0,0.1,50,AC,CD,BA,-1
0,0.7000000000000001,30,AA,CB,BC,1
0,0.9,30,AB,CA,BA,25
0,0.5,40,AB,CF,BA,25
0,0.7000000000000001,30,AB,CA,BC,26
0,0.3,20,AC,CA,BE,1
0,0.8,30,AB,CF,BB,15
0,0.9,40,AB,CB,BA,1
0,0.9,20,AD,CA,BC,1
0,0.8,50,AB,CB,BC,6
0,0.1,50,AB,CF,BD,25
0,0.3,40,AB,CA,BC,1
0,0.9,30,AA,CA,BD,26
0,0.7000000000000001,40,AB,CA,BA,1
0,0.2,50,AB,CB,BB,5
0,0.9,40,AB,CA,BA,1
0,0.7000000000000001,30,AC,CF,BB,-1
0,0.4,30,AD,CB,BC,30
0,0.1,40,AC,CA,BB,-1
0,0.7000000000000001,40,AB,CB,BC,30
0,0.1,20,AA,CA,BE,6
0,0.5,20,AD,CB,BE,4
0,0.8,50,AA,CE,BE,1
0,0.8,20,AD,CA,BE,30
0,0.1,40,AA,CA,BA,28
0,0.2,40,AB,CA,BE,25
0,0.8,50,AB,CA,BC,1
0,0.4,30,AA,CA,BC,21
0,0.9,60,AA,CA,BA,25
0,0.9,50,AB,CA,BA,2
0,0.3,10,AA,CA,BE,15
0,0.1,40,AA,CA,BA,1
0,0.2,10,AA,CE,BC,21
0,0.9,40,AB,CA,BA,30
0,0.2,20,AA,CB,BE,11
0,0.3,30,AB,CA,BA,1
0,0.1,30,AB,CA,BC,10
0,0.1,20,AB,CB,BE,1
0,0.8,40,AD,CA,BE,10
0,0.6000000000000001,20,AD,CA,BB,1
0,0.7000000000000001,40,AB,CB,BE,25
0,0.6000000000000001,30,AB,CB,BA,5
0,0.8,40,AB,CA,BA,28
0,0.1,60,AB,CA,BC,19
0,0.7000000000000001,30,AB,CA,BC,28
0,0.8,30,AA,CB,BE,20
0,0.3,50,AB,CA,BB,1
0,0.4,30,AD,CA,BE,2
0,0.8,30,AA,CA,BE,2
0,0.6000000000000001,20,AA,CA,BC,1
0,0.7000000000000001,20,AB,CA,BC,1
0,0.9,30,AD,CB,BD,19
0,0.9,30,AA,CA,BB,10
0,0.1,20,AD,CA,BC,1
0,0.8,30,AA,CF,BC,21
0,0.9,30,AD,CA,BC,1
0,0.2,20,AB,CA,BC,1
0,0.6000000000000001,20,AB,CA,BA,1
0,0.9,30,AB,CA,BB,5
0,0.5,50,AA,CD,BB,28
0,0.8,20,AD,CA,BD,25
0,0.7000000000000001,30,AA,CA,BC,28
0,0.4,30,AD,CA,BC,1
0,0.1,10,AC,CE,BE,-1
0,0.6000000000000001,20,AC,CA,BC,-1
0,0.8,60,AB,CC,BB,1
0,0.9,50,AB,CB,BB,-1
0,0.9,30,AB,CA,BE,4
0,0.8,20,AD,CA,BC,30
0,0.3,10,AA,CA,BC,31
0,0.6000000000000001,60,AD,CC,BB,27
0,0.7000000000000001,30,AB,CD,BB,15
0,0.3,20,AC,CA,BE,-1
0,0.4,40,AA,CC,BC,9
0,0.8,40,AC,CA,BC,1
0,0.3,40,AB,CA,BB,1
0,0.6000000000000001,60,AD,CD,BC,-1
0,0.1,50,AC,CA,BC,-1
0,0.2,20,AB,CA,BE,25
0,0.9,60,AB,CC,BA,1
0,0.7000000000000001,20,AB,CA,BA,15
0,0.2,30,AA,CA,BC,21
0,0.7000000000000001,20,AA,CE,BA,31
0,0.5,20,AC,CA,BB,-1
0,0.1,20,AA,CA,BE,2
0,0.8,20,AA,CB,BE,1
0,0.9,40,AC,CA,BC,-1
0,0.5,20,AD,CA,BE,15
0,0.7000000000000001,50,AA,CA,BC,25
0,0.7000000000000001,40,AB,CB,BA,1
0,0.7000000000000001,20,AB,CA,BC,1
0,0.6000000000000001,40,AA,CA,BB,10
0,0.3,20,AB,CF,BC,28
0,0.6000000000000001,20,AC,CA,BE,-1
0,0.1,20,AB,CA,BE,1
0,0.6000000000000001,30,AA,CA,BC,28
0,0.2,20,AC,CA,BB,-1
0,0.8,20,AA,CA,BE,1
0,0.1,50,AD,CA,BC,-1
0,0.4,20,AB,CA,BC,28
0,0.9,30,AA,CE,BE,28
0,0.6000000000000001,30,AD,CA,BC,1
0,0.5,50,AA,CC,BA,20
0,0.9,40,AA,CA,BA,20
0,0.6000000000000001,40,AB,CA,BC,25
0,0.1,40,AA,CA,BC,29
0,0.1,20,AB,CA,BC,28
0,0.3,20,AA,CA,BC,28
0,0.4,50,AA,CC,BB,10
0,0.1,20,AB,CA,BB,15
0,0.9,30,AD,CA,BA,1
0,0.9,20,AD,CA,BC,31
0,0.1,30,AB,CA,BE,21
0,0.7000000000000001,50,AB,CA,BA,5
0,0.8,50,AB,CA,BC,15
0,0.5,30,AB,CA,BC,1
0,0.1,20,AB,CA,BC,20
0,0.2,20,AB,CA,BB,28
0,0.8,40,AD,CA,BC,1
0,0.9,20,AA,CA,BC,1
0,0.8,70,AA,CA,BA,2
0,0.9,20,AD,CA,BC,1
0,0.7000000000000001,20,AB,CB,BE,30
0,0.9,40,AD,CA,BC,28
0,0.6000000000000001,40,AC,CA,BA,-1
0,0.4,40,AA,CC,BC,1
0,0.9,40,AB,CA,BD,4
0,0.1,20,AB,CA,BB,25
0,0.9,50,AB,CA,BA,24
0,0.4,30,AD,CA,BC,1
0,0.8,30,AA,CB,BC,10
0,0.9,50,AB,CA,BA,28
0,0.7000000000000001,30,AD,CA,BE,2
0,0.6000000000000001,30,AA,CA,BC,1
0,0.9,50,AA,CA,BD,28
0,0.9,40,AB,CA,BA,25
0,0.1,20,AC,CA,BC,-1
0,0.3,60,AB,CB,BB,10
0,0.7000000000000001,40,AB,CA,BB,1
0,0.9,40,AB,CA,BC,25
0,0.9,20,AB,CA,BC,28
0,0.6000000000000001,20,AB,CA,BB,6
0,0.8,20,AA,CA,BC,28
0,0.9,20,AB,CA,BE,4
0,0.1,50,AA,CA,BE,16
0,0.3,20,AA,CA,BE,28
0,0.4,40,AA,CB,BC,1
0,0.9,20,AD,CA,BD,26
0,0.1,30,AB,CA,BB,1
0,0.8,30,AD,CA,BA,1
0,0.6000000000000001,40,AB,CD,BE,1
0,0.4,10,AB,CA,BE,2
0,0.1,50,AC,CA,BC,-1
0,0.6000000000000001,40,AD,CA,BB,25
0,0.1,50,AA,CB,BC,22
0,0.7000000000000001,30,AA,CA,BC,1
0,0.8,20,AA,CA,BC,1
0,0.4,40,AB,CA,BC,19
0,0.9,50,AB,CB,BA,27
0,0.4,20,AB,CA,BC,26
0,0.6000000000000001,50,AB,CA,BA,25
0,0.8,20,AA,CA,BC,26
0,0.8,20,AC,CA,BC,-1
0,0.8,50,AA,CA,BA,1
0,0.1,40,AD,CA,BE,1
0,0.3,20,AB,CA,BE,28
0,0.8,20,AA,CA,BB,1
0,0.4,40,AA,CA,BC,1
0,0.4,40,AB,CA,BC,1
0,0.5,20,AD,CA,BC,1
0,0.6000000000000001,20,AB,CA,BB,1
0,0.7000000000000001,60,AD,CA,BC,1
0,0.5,30,AA,CA,BE,1
0,0.9,20,AD,CB,BE,30
0,0.6000000000000001,20,AB,CA,BC,1
0,0.9,50,AD,CB,BC,30
0,0.2,50,AB,CC,BD,10
0,0.8,40,AB,CA,BC,28
0,0.1,20,AD,CF,BE,20
0,0.9,30,AD,CA,BC,1
0,0.1,50,AA,CB,BA,31
0,0.9,20,AB,CA,BC,6
0,0.4,40,AC,CA,BB,-1
0,0.9,40,AA,CA,BC,-1
0,0.7000000000000001,40,AB,CA,BC,15
0,0.6000000000000001,20,AC,CA,BB,-1
0,0.1,40,AA,CE,BB,11
0,0.9,70,AB,CC,BB,30
0,0.7000000000000001,30,AA,CA,BA,28
0,0.1,20,AB,CA,BB,1
0,0.1,20,AA,CA,BE,28
0,0.8,30,AB,CA,BA,1
0,0.1,10,AA,CA,BE,1
0,0.6000000000000001,30,AB,CA,BC,1
0,0.3,50,AA,CC,BA,11
0,0.9,60,AA,CB,BC,5
1,0.9,30,AA,CA,BA,1
0,0.9,30,AB,CB,BC,15
0,0.8,50,AA,CA,BC,11
0,0.1,30,AB,CA,BC,1
0,0.5,50,AB,CB,BA,1
0,0.5,20,AA,CF,BE,28
0,0.6000000000000001,40,AA,CB,BC,1
0,0.9,30,AA,CB,BC,26
0,0.3,30,AA,CA,BC,29
0,0.9,50,AD,CA,BC,1
0,0.7000000000000001,50,AB,CC,BA,30
0,0.9,50,AC,CB,BD,-1
0,0.9,20,AB,CA,BC,25
0,0.9,20,AA,CE,BC,25
0,0.2,40,AA,CA,BC,25
0,0.3,30,AA,CA,BE,28
0,0.8,30,AA,CA,BC,1
0,0.3,30,AB,CA,BE,1
0,0.2,20,AD,CD,BE,1
0,0.8,40,AD,CA,BA,27
0,0.9,20,AD,CA,BA,2
0,0.1,30,AB,CA,BB,1
0,0.7000000000000001,20,AD,CA,BE,28
0,0.5,40,AB,CA,BA,1
0,0.1,20,AD,CA,BC,20
0,0.7000000000000001,50,AB,CA,BC,1
0,0.5,30,AA,CF,BC,28
0,0.6000000000000001,20,AB,CA,BB,28
0,0.2,40,AB,CA,BA,2
0,0.8,30,AA,CA,BC,26
0,0.9,20,AB,CB,BA,2
0,0.3,20,AA,CF,BF,-1
0,0.3,20,AB,CA,BE,1
0,0.4,50,AA,CB,BA,30
0,0.9,20,AA,CA,BA,1
0,0.1,20,AB,CA,BC,2
0,0.7000000000000001,50,AB,CB,BA,1
0,0.9,40,AB,CB,BC,20
0,0.9,50,AB,CA,BA,5
0,0.7000000000000001,30,AD,CB,BB,26
0,0.5,40,AB,CB,BC,4
0,0.9,40,AB,CB,BA,6
0,0.8,20,AB,CA,BA,2
0,0.9,30,AD,CA,BB,1
0,0.7000000000000001,20,AB,CA,BB,1
0,0.2,20,AB,CE,BE,3
0,0.1,40,AA,CA,BE,28
0,0.6000000000000001,40,AC,CD,BB,-1
0,0.2,30,AD,CB,BC,2
0,0.5,50,AC,CC,BC,-1
0,0.9,60,AD,CA,BB,31
0,0.9,30,AB,CF,BC,1
0,0.2,60,AC,CA,BB,1
0,0.9,30,AA,CA,BA,25
0,0.1,50,AA,CA,BC,1
0,0.1,30,AA,CA,BE,22
0,0.1,20,AA,CA,BE,31
0,0.9,30,AC,CB,BC,-1
0,0.8,40,AD,CA,BE,10
0,0.1,40,AC,CA,BE,-1
0,0.6000000000000001,30,AB,CA,BA,28
0,0.8,30,AB,CA,BC,27
0,0.9,40,AD,CA,BC,5
0,0.9,20,AD,CA,BC,10
0,0.1,10,AD,CA,BE,25
0,0.9,30,AA,CA,BA,5
0,0.9,30,AB,CA,BA,30
0,0.9,20,AD,CA,BE,31
0,0.7000000000000001,20,AA,CA,BE,20
0,0.7000000000000001,30,AB,CA,BB,28
0,0.8,20,AD,CA,BE,15
0,0.7000000000000001,20,AA,CB,BB,15
0,0.9,50,AC,CC,BA,-1
0,0.4,30,AC,CB,BC,-1
0,0.8,30,AB,CB,BB,2
0,0.1,10,AA,CE,BE,28
0,0.5,40,AC,CA,BA,-1
0,0.5,40,AB,CD,BB,1
0,0.9,20,AC,CB,BC,-1
0,0.9,30,AA,CA,BC,1
0,0.1,60,AB,CC,BE,1
0,0.6000000000000001,20,AC,CA,BC,-1
0,0.3,30,AD,CB,BC,4
0,0.1,30,AC,CA,BC,-1
0,0.6000000000000001,40,AC,CB,BC,-1
0,0.4,50,AB,CB,BC,5
0,0.5,30,AB,CB,BE,19
0,0.8,30,AD,CB,BC,19
0,0.9,40,AB,CA,BC,2
0,0.5,40,AA,CA,BC,2
0,0.9,40,AB,CB,BC,31
0,0.6000000000000001,40,AD,CB,BC,21
0,0.8,30,AC,CA,BC,-1
0,0.9,30,AD,CA,BC,15
0,0.1,40,AA,CF,BC,5
0,0.8,30,AA,CA,BC,16
0,0.4,40,AA,CB,BA,15
0,0.6000000000000001,20,AB,CB,BE,26
0,0.6000000000000001,40,AB,CA,BE,1
0,0.9,20,AD,CB,BC,31
0,0.8,60,AD,CB,BC,10
0,0.7000000000000001,20,AC,CA,BC,-1
0,0.1,50,AB,CA,BC,1
0,0.3,50,AB,CC,BB,15
0,0.9,30,AB,CA,BA,25
0,0.9,50,AB,CA,BC,1
0,0.1,40,AB,CA,BB,1
0,0.3,30,AA,CA,BE,28
0,0.1,30,AC,CA,BE,-1
0,0.2,50,AB,CB,BB,20
0,0.9,30,AA,CA,BC,1
0,0.1,20,AC,CA,BE,-1
0,0.6000000000000001,30,AC,CA,BC,1
0,0.2,20,AA,CA,BE,1
0,0.8,30,AA,CB,BE,2
0,0.9,50,AB,CA,BC,30
0,0.6000000000000001,20,AC,CB,BC,-1
0,0.8,50,AC,CA,BA,-1
1,0.9,30,AB,CA,BD,30
0,0.9,50,AB,CF,BA,28
0,0.6000000000000001,30,AA,CC,BB,2
0,0.7000000000000001,50,AA,CA,BC,26
0,0.9,20,AA,CA,BD,26
0,0.7000000000000001,60,AD,CC,BA,10
0,0.7000000000000001,20,AA,CA,BC,26
0,0.9,40,AB,CB,BC,5
0,0.6000000000000001,50,AD,CB,BE,1
